CRASH_ID,SER_NO,CRASH_DT,CRASH_MO_NO,CRASH_DAY_NO,CRASH_YR_NO,CRASH_WK_DAY_CD,CRASH_HR_NO,CRASH_HR_SHORT_DESC,CNTY_ID,CNTY_NM,CITY_SECT_ID,CITY_SECT_NM,URB_AREA_CD,URB_AREA_SHORT_NM,FC_CD,FC_SHORT_DESC,NHS_FLG,HWY_NO,HWY_SFX_NO,HWY_MED_NM,RDWY_NO,HWY_COMPNT_CD,HWY_COMPNT_SHORT_DESC,MLGE_TYP_CD,MLGE_TYP_SHORT_DESC,RD_CON_NO,LRS_VAL,LAT_DEG_NO,LAT_MINUTE_NO,LAT_SEC_NO,LONGTD_DEG_NO,LONGTD_MINUTE_NO,LONGTD_SEC_NO,SPECL_JRSDCT_ID,SPECL_JRSDCT_SHORT_DESC,JRSDCT_GRP_CD,JRSDCT_GRP_SHORT_DESC,AGY_ST_NO,ST_FULL_NM,RECRE_RD_NM,ISECTG_AGY_ST_NO,ISECTG_ST_FULL_NM,ISECT_RECRE_RD_NM,FROM_ISECT_DSTNC_QTY,CMPSS_DIR_CD,MP_NO,POST_SPEED_LMT_VAL,RD_CHAR_CD,RD_CHAR_SHORT_DESC,OFF_RDWY_FLG,ISECT_TYP_CD,ISECT_TYP_SHORT_DESC,ISECT_REL_FLG,RNDABT_FLG,DRVWY_REL_FLG,LN_QTY,TURNG_LEG_QTY,MEDN_TYP_CD,MEDN_TYP_SHORT_DESC,IMPCT_LOC_CD,CRASH_TYP_CD,CRASH_TYP_SHORT_DESC,COLLIS_TYP_CD,COLLIS_TYP_SHORT_DESC,CRASH_SVRTY_CD,CRASH_SVRTY_SHORT_DESC,WTHR_COND_CD,WTHR_COND_SHORT_DESC,RD_SURF_COND_CD,RD_SURF_SHORT_DESC,LGT_COND_CD,LGT_COND_SHORT_DESC,TRAF_CNTL_DEVICE_CD,TRAF_CNTL_DEVICE_SHORT_DESC,TRAF_CNTL_FUNC_FLG,INVSTG_AGY_CD,INVSTG_AGY_SHORT_DESC,CRASH_EVNT_1_CD,CRASH_EVNT_1_SHORT_DESC,CRASH_EVNT_2_CD,CRASH_EVNT_2_SHORT_DESC,CRASH_EVNT_3_CD,CRASH_EVNT_3_SHORT_DESC,CRASH_CAUSE_1_CD,CRASH_CAUSE_1_SHORT_DESC,CRASH_CAUSE_2_CD,CRASH_CAUSE_2_SHORT_DESC,CRASH_CAUSE_3_CD,CRASH_CAUSE_3_SHORT_DESC,SCHL_ZONE_IND,WRK_ZONE_IND,ALCHL_INVLV_FLG,DRUG_INVLV_FLG,CRASH_SPEED_INVLV_FLG,CRASH_HIT_RUN_FLG,POP_RNG_CD,POP_RNG_MED_DESC,RD_CNTL_CD,RD_CNTL_MED_DESC,RTE_TYP_CD,RTE_ID,RTE_NM,CRASH_LAST_UD_DT,TOT_VHCL_CNT,TOT_FATAL_CNT,TOT_INJ_LVL_A_CNT,TOT_INJ_LVL_B_CNT,TOT_INJ_LVL_C_CNT,TOT_INJ_CNT,TOT_UNINJD_AGE00_04_CNT,TOT_UNINJD_PER_CNT,TOT_PED_CNT,TOT_PED_FATAL_CNT,TOT_PED_INJ_CNT,TOT_PEDCYCL_CNT,TOT_PEDCYCL_FATAL_CNT,TOT_PEDCYCL_INJ_CNT,TOT_UNKNWN_CNT,TOT_UNKNWN_FATAL_CNT,TOT_UNKNWN_INJ_CNT,TOT_OCCUP_CNT,TOT_PER_INVLV_CNT,TOT_SFTY_EQUIP_USED_QTY,TOT_SFTY_EQUIP_UNUSED_QTY,TOT_SFTY_EQUIP_USE_UNKNOWN_QTY,CL_NODE_ID,CL_SEGMENT_ID1,CL_SEGMENT_ID2,LH_INTERSEC_ID,LH_CRASHLOC_ID,LH_CRASHLOC_TYP,CL_STREET1,CL_STREET2,CRASH_X,CRASH_Y,ODOT_DIST,ODOT_COUNTY,IntLocM,CrashLocM,CrashXYM,AlwaysSkip,GeoUncertain,ODOT_DIST_NAME,ODOT_CNTY_NAME,SEG_MRK_ID,SEG_PT_LRS_MEAS,UNLOCT_FLG,ISECT_SEQ_NO,REG_ID,DIST_ID,LAT_DD,LONGTD_DD,TOT_PED_INJ_LVL_A_CNT,TOT_PEDCYCL_INJ_LVL_A_CNT,TOT_PSNGR_VHCL_OCC_UNRESTRND_FATAL_CNT,TOT_MCYCLST_FATAL_CNT,TOT_MCYCLST_INJ_LVL_A_CNT,TOT_MCYCLST_INJ_CNT,TOT_MCYCLST_UNHELMTD_FATAL_CNT,TOT_ALCHL_IMPAIRED_DRVR_INV_FATAL_CNT,TOT_DRVR_AGE_01_20_CNT,LANE_RDWY_DPRT_CRASH_FLG
1182890,86,1/4/06 0:00,1,4,2006,4,17,5P ,26,Multnomah,242,Portland N,57,PORTLAND UA    ,14,U PR-ART,0,,,,,,,,,,,,,,,,,,,,,267,BROADWAY ST,,2504,VANCOUVER AVE,,20,3,,,3,STRGHT  ,0,,,0,0,0,2,,0,NONE ,6,E,S-1STOP   ,3,REAR    ,5,PDO,1,CLR ,1,DRY ,2,DLIT,99,UNKNOWN   ,1,,,,,,,,,13,IMP LN C,,,,,,,0,0,0,0,9,,1,PORTLAND CITY STREET,,,,5/1/06 11:30,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45161,,,00623Node45161,LEG6758,NODELEG,N BROADWAY ,N VANCOUVER AVE,7646719,688635,242,26,RT,AI,MD,0,0,,,,,,,,,,,,,,,,,,,,
1182905,109,1/1/06 0:00,1,1,2006,1,6,6A ,26,Multnomah,243,Portland NE,57,PORTLAND UA    ,11,U INTRST,1,64,  ,EAST PORTLAND FREEWAY,1,0,MN,0,R,,,,,,,,,,,,,745,EAST PORTLAND FY,,9726,,,,1,20.65,,3,STRGHT  ,0,,,0,0,0,6,,2,DIVMD,3,C,S-STRGHT  ,3,REAR    ,5,PDO,3,RAIN,2,WET ,3,DARK,99,UNKNOWN   ,1,,,,,,,,,7,TOO-CLOS,,,,,,,0,0,0,0,9,,2,PORTLAND HWY SYSTEM,,,,5/1/06 11:30,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,NE I205 FWY,,,,243,26,,,,0,0,,,,,,,,,,,,,,,,,,,,
1182906,114,1/1/06 0:00,1,1,2006,1,17,5P ,26,Multnomah,243,Portland NE,57,PORTLAND UA    ,11,U INTRST,1,2,  ,COLUMBIA RIVER,2,0,MN,0,R,,,,,,,,,,,,,305,BANFIELD FY,,9510,WB EX NE HOLLADY,,,7,1.02,,3,STRGHT  ,0,,,0,0,0,6,,1,RSDMD,8,I,O-1STOP   ,-,BACK    ,5,PDO,3,RAIN,2,WET ,3,DARK,99,UNKNOWN   ,1,3,CITY  ,,,,,,,7,TOO-CLOS,,,,,,,0,0,0,1,9,,2,PORTLAND HWY SYSTEM,,,,5/1/06 11:30,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,01141NODE47774,LEG2593,NODELEG,NE I84 FWY,NE I84 FWY-HOLLADAY ST RAMP,7650586,686264,243,26,RT,RT,HN,0,0,,,,,,,,,,,,,,,,,,,,
1182908,120,1/1/06 0:00,1,1,2006,1,3,3A ,26,Multnomah,248,Portland W. Burnside,57,PORTLAND UA    ,16,U MN-ART,0,,,,,,,,,,,,,,,,,,,,,283,BURNSIDE ST,,1041,HERMOSA BLVD,,300,7,,,5,CURVE   ,0,,,0,0,0,2,,0,NONE ,7,E,S-1STOP   ,3,REAR    ,4,INJ,2,CLD ,2,WET ,2,DLIT,99,UNKNOWN   ,1,3,CITY  ,10,SUB OTRN  ,,,,,27,INATTENT,,,,,,,0,0,0,1,9,,1,PORTLAND CITY STREET,,,,5/1/06 11:30,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50668,,,01495NODE50668,LEG76171,NODELEG,W BURNSIDE ST,HERMOSA BLVD,7634232,684300,248,26,RT,AI,MD,0,0,,,,,,,,,,,,,,,,,,,,
1182922,54,1/3/06 0:00,1,3,2006,3,18,6P ,26,Multnomah,245,Portland SE,57,PORTLAND UA    ,14,U PR-ART,0,26,  ,MT. HOOD,1,0,MN,0,R,,,,,,,,,,,,,1940,POWELL BLVD,,5028,  28TH AVE,,,3,2.1800001,,3,STRGHT  ,0,,,0,0,0,4,,0,NONE ,4,C,S-STRGHT  ,5,SS-O    ,5,PDO,1,CLR ,2,WET ,2,DLIT,99,UNKNOWN   ,1,,,,,,,,,10,OTHR-IMP,,,,,,,0,0,0,0,9,,2,PORTLAND HWY SYSTEM,,,,5/1/06 11:30,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61707,,,01917Node61707,01917Node61707,INTERSEC,SE POWELL BLVD,SE 28TH AVE,7654061,674831,245,26,RT,AI,IC,0,0,,,,,,,,,,,,,,,,,,,,
1182923,55,1/3/06 0:00,1,3,2006,3,19,7P ,26,Multnomah,243,Portland NE,57,PORTLAND UA    ,14,U PR-ART,0,123,  ,NORTHEAST PORTLAND,1,0,MN,0,R,,,,,,,,,,,,,472,COLUMBIA BLVD,,1311,KILLINGSWORTH ST,,,7,10.87,,1,INTER   ,0,3,3-LEG  ,0,0,0,,0,,,6,E,S-1STOP   ,3,REAR    ,5,PDO,2,CLD ,2,WET ,2,DLIT,1,TRF SIGNAL,1,3,CITY  ,,,,,,,7,TOO-CLOS,,,,,,,0,0,0,1,9,"Over 200,000",2,PORTLAND HWY SYSTEM,,,,5/8/07 11:04,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38049,,,04368Node38107,LEG30196,NODELEG,NE COLUMBIA BLVD,NE KILLINGSWORTH ST,7672419,697917,243,26,RT,AI,HN,0,0,,,,,,,,,,,,,,,,,,,,
1182900,99,1/4/06 0:00,1,4,2006,4,17,5P ,26,Multnomah,245,Portland SE,57,PORTLAND UA    ,16,U MN-ART,0,,,,,,,,,,,,,,,,,,,,,5122, 122ND,,0,,,150,1,,,3,STRGHT  ,0,,,0,0,0,3,,0,NONE ,7,I,O-1STOP   ,-,BACK    ,4,INJ,1,CLR ,1,DRY ,2,DLIT,90,L-TURN REF,1,,,,,,,,,10,OTHR-IMP,,,,,,,0,0,0,0,9,,1,PORTLAND CITY STREET,,,,5/1/06 11:30,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,SE 122ND AVE,,,,245,26,,,,0,0,,,,,,,,,,,,,,,,,,,,
1182902,101,1/4/06 0:00,1,4,2006,4,8,8A ,26,Multnomah,245,Portland SE,57,PORTLAND UA    ,17,U COLL  ,0,,,,,,,,,,,,,,,,,,,,,1019,HAROLD ST,,5101, 101ST AVE,,0,9,,,1,INTER   ,0,1,CROSS  ,0,0,0,,0,,,3,B,ANGL-OTH  ,1,ANGL    ,4,INJ,2,CLD ,2,WET ,1,DAY ,4,STOP SIGN ,1,3,CITY  ,82,VEH HID   ,,,,,2,NO-YIELD,11,MECH-DEF,,,,,0,0,0,0,9,,1,PORTLAND CITY STREET,,,,9/14/06 13:26,2,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67229,,,04509Node67229,04509Node67229,INTERSEC,SE HAROLD ST,SE 101ST AVE,7673920,668766,245,26,RT,AI,IC,0,0,,,,,,,,,,,,,,,,,,,,
1182904,106,1/1/06 0:00,1,1,2006,1,15,3P ,26,Multnomah,249,Portland NW,57,PORTLAND UA    ,14,U PR-ART,1,92,  ,LOWER COLUMBIA RIVER,1,0,MN,0,R,,,,,,,,,,,,,2703,YEON AVE,,5026,  26TH AVE,,,3,2.4200001,,2,ALLEY   ,0,,,1,0,0,3,,0,NONE ,3,E,S-1STOP   ,3,REAR    ,4,INJ,1,CLR ,1,DRY ,1,DAY ,99,UNKNOWN   ,1,5,NO RPT,,,,,,,27,INATTENT,,,,,,,0,0,0,0,9,,2,PORTLAND HWY SYSTEM,,,,5/1/06 11:30,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41471,,,02060Node41471,02060Node41471,INTERSEC,NW YEON AVE,NW 26TH AVE,7637003,692533,249,26,RT,AI,IC,0,0,,,,,,,,,,,,,,,,,,,,
1182909,121,1/1/06 0:00,1,1,2006,1,17,5P ,26,Multnomah,243,Portland NE,57,PORTLAND UA    ,11,U INTRST,1,1,  ,PACIFIC,2,0,MN,0,R,,,,,,,,,,,,,302,PACIFIC HY I-5,,9434,NB EX WEIDLER,,,5,302,,3,STRGHT  ,0,,,0,0,0,6,,1,RSDMD,3,C,S-STRGHT  ,3,REAR    ,5,PDO,3,RAIN,2,WET ,2,DLIT,99,UNKNOWN   ,1,5,NO RPT,,,,,,,7,TOO-CLOS,,,,,,,0,0,0,0,9,,2,PORTLAND HWY SYSTEM,,,,5/1/06 11:30,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,00795NODE46563,LEG2128,NODELEG,NE I5 FWY,NE I5 FWY-WEIDLER ST RAMP,7647299,686488,243,26,RT,AI,HN,0,0,,,,,,,,,,,,,,,,,,,,
1182911,102,1/4/06 0:00,1,4,2006,4,3,3A ,26,Multnomah,249,Portland NW,57,PORTLAND UA    ,12,U FWY/XP,0,92,  ,LOWER COLUMBIA RIVER,1,6,CN,0,R,1,,,,,,,,,,,,9801,WB EX NW 23RD AV,,5023,  23RD AVE,,,2,1.74,,3,STRGHT  ,1,,,0,0,0,3,,0,NONE ,1,8,FIX OBJ   ,9,FIX     ,5,PDO,3,RAIN,2,WET ,2,DLIT,99,UNKNOWN   ,1,,,43,GARDRAIL  ,,,,,1,TOO-FAST,,,,,,,0,0,0,0,9,,2,PORTLAND HWY SYSTEM,,,,5/1/06 11:30,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44150,,,01584NODE44150,01584NODE44150,INTERSEC,WB EX NW 23RD AV,NW 23RD AVE,7638742,689514,249,26,RT,AI,IC,0,0,,,,,,,,,,,,,,,,,,,,
1182927,59,1/3/06 0:00,1,3,2006,3,9,9A ,26,Multnomah,245,Portland SE,57,PORTLAND UA    ,17,U COLL  ,0,,,,,,,,,,,,,,,,,,,,,1567,MILWAUKIE AVE,,2659,WOODWARD ST,,0,9,,30,1,INTER   ,0,3,3-LEG  ,0,0,0,,0,,,1,H,O-1TURN   ,6,TURN    ,4,INJ,2,CLD ,1,DRY ,1,DAY ,99,UNKNOWN   ,1,3,CITY  ,99,CELL-WTN  ,,,,,2,NO-YIELD,,,,,,,0,0,0,0,9,,1,PORTLAND CITY STREET,,,,5/1/06 11:30,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60089,,,01326Node60089,01326Node60089,INTERSEC,SE MILWAUKIE AVE,SE WOODWARD ST,7649838,676521,245,26,RT,AI,IC,0,0,,,,,,,,,,,,,,,,,,,,
1182929,61,1/3/06 0:00,1,3,2006,3,11,11A,26,Multnomah,242,Portland N,57,PORTLAND UA    ,17,U COLL  ,0,,,,,,,,,,,,,,,,,,,,,547,COLUMBIA WAY,,1511,MACRUM AVE,,0,9,,35,1,INTER   ,0,1,CROSS  ,0,0,0,,0,,,4,B,ANGL-OTH  ,1,ANGL    ,5,PDO,3,RAIN,2,WET ,1,DAY ,4,STOP SIGN ,1,3,CITY  ,,,,,,,3,PAS-STOP,,,,,,,0,0,0,1,9,,1,PORTLAND CITY STREET,,,,5/1/06 11:30,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31500,,,04343Node31500,04343Node31500,INTERSEC,N COLUMBIA WAY,N MACRUM AVE,7631244,710381,242,26,RT,AI,IC,0,0,,,,,,,,,,,,,,,,,,,,
1182952,72,1/4/06 0:00,1,4,2006,4,14,2P ,26,Multnomah,245,Portland SE,57,PORTLAND UA    ,14,U PR-ART,0,,,,,,,,,,,,,,,,,,,,,929,GRAND AVE,,1528,MARKET ST,,0,9,,,1,INTER   ,0,1,CROSS  ,0,0,0,,0,,,4,B,ANGL-OTH  ,1,ANGL    ,5,PDO,1,CLR ,1,DRY ,1,DAY ,4,STOP SIGN ,1,,,,,,,,,2,NO-YIELD,,,,,,,0,0,0,0,9,,1,PORTLAND CITY STREET,,,,5/1/06 11:30,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56525,,,00845Node56525,00845Node56525,INTERSEC,SE GRAND AVE,SE MARKET ST,7648243,679735,245,26,RT,AI,IC,0,0,,,,,,,,,,,,,,,,,,,,
1182954,152,1/2/06 0:00,1,2,2006,2,11,11A,26,Multnomah,242,Portland N,57,PORTLAND UA    ,16,U MN-ART,1,120,  ,SWIFT,1,6,CN,0,R,1,,,,,,,,,,,,1617,LEG TO MARINE DR,,9701,EXTO I-5,,,6,2.72,,1,INTER   ,1,6,6-LEG  ,0,0,0,,0,,,5,8,FIX OBJ   ,9,FIX     ,5,PDO,3,RAIN,2,WET ,1,DAY ,1,TRF SIGNAL,1,,,44,BARRIER   ,,,,,1,TOO-FAST,10,OTHR-IMP,,,,,0,0,0,0,9,,2,PORTLAND HWY SYSTEM,,,,5/1/06 11:30,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29587,,,03555NODE29587,LEG2498,INTERSEC,N MARINE DR,EXTO I-5,7643205,714468,242,26,RT,MS,IC,0,1,,,,,,,,,,,,,,,,,,,,
1182959,184,1/9/06 0:00,1,9,2006,2,13,1P ,26,Multnomah,245,Portland SE,57,PORTLAND UA    ,11,U INTRST,1,1,  ,PACIFIC,2,0,MN,0,R,,,,,,,,,,,,,302,PACIFIC HY I-5,,9438,NB EX BANFLD FY,,,5,301.03,,3,STRGHT  ,0,,,0,0,0,6,,1,RSDMD,3,E,S-1STOP   ,3,REAR    ,5,PDO,3,RAIN,2,WET ,1,DAY ,99,UNKNOWN   ,1,,,92,PHANTOM   ,,,,,7,TOO-CLOS,,,,,,,0,0,0,0,9,,2,PORTLAND HWY SYSTEM,,,,5/1/06 11:30,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,00569NODE56055,LEG2214,NODELEG,SE I5 FWY,NB EX BANFLD FY,7646627,681681,245,26,RT,AI,HN,0,0,,,,,,,,,,,,,,,,,,,,
1182961,188,1/9/06 0:00,1,9,2006,2,17,5P ,26,Multnomah,245,Portland SE,57,PORTLAND UA    ,16,U MN-ART,0,,,,,,,,,,,,,,,,,,,,,563,CHERRY BLOSSOM DR,,1592,MORRISON CT,,0,9,,,1,INTER   ,0,5,5-LEG  ,0,0,0,,0,,,1,B,ANGL-OTH  ,1,ANGL    ,5,PDO,3,RAIN,2,WET ,2,DLIT,4,STOP SIGN ,1,5,NO RPT,13,FORCED    ,,,,,2,NO-YIELD,,,,,,,0,0,0,0,9,,1,PORTLAND CITY STREET,,,,5/1/06 11:30,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54618,,,03306Node54618,03306Node54618,INTERSEC,SE CHERRY BLOSSOM DR,SE MORRISON CT,7674578,681352,245,26,RT,AI,IC,0,0,,,,,,,,,,,,,,,,,,,,
1182968,196,1/9/06 0:00,1,9,2006,2,16,4P ,26,Multnomah,243,Portland NE,57,PORTLAND UA    ,16,U MN-ART,0,,,,,,,,,,,,,,,,,,,,,488,CULLY BLVD,,1311,KILLINGSWORTH ST,,0,9,,,1,INTER   ,0,1,CROSS  ,0,0,0,,0,,,3,B,ANGL-OTH  ,1,ANGL    ,5,PDO,3,RAIN,2,WET ,1,DAY ,1,TRF SIGNAL,1,5,NO RPT,88,FENC/BLD  ,,,,,4,DIS--RAG,,,,,,,0,0,0,0,9,,1,PORTLAND CITY STREET,,,,5/1/06 11:30,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37889,,,03715Node37889,03715Node37889,INTERSEC,NE CULLY BLVD,NE KILLINGSWORTH ST,7665803,698202,243,26,RT,AI,IC,0,0,,,,,,,,,,,,,,,,,,,,
1182970,198,1/9/06 0:00,1,9,2006,2,20,8P ,26,Multnomah,247,Portland SW,57,PORTLAND UA    ,19,U LOCAL ,1,61,  ,STADIUM FREEWAY,1,6,CN,0,R,2,,,,,,,,,,,,9550,EB EX MARQUAM BR,,9495,SB EF STADIUM FY,,,8,0.67000002,,3,STRGHT  ,1,,,0,0,0,2,,0,NONE ,1,8,FIX OBJ   ,9,FIX     ,5,PDO,3,RAIN,2,WET ,2,DLIT,99,UNKNOWN   ,1,,,45,WALL      ,43,GARDRAIL  ,,,1,TOO-FAST,10,OTHR-IMP,,,,,0,0,0,0,9,,2,PORTLAND HWY SYSTEM,,,,5/1/06 11:30,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,SW I405 FWY-MARQUAM BRG RAMP,SB EF STADIUM FY,,,247,26,,,,1,0,,,,,,,,,,,,,,,,,,,,
1182917,5,1/31/06 0:00,1,31,2006,3,19,7P ,26,Multnomah,249,Portland NW,57,PORTLAND UA    ,17,U COLL  ,0,,,,,,,,,,,,,,,,,,,,,2001,QUIMBY ST,,5023,23RD AVE,,0,1,,20,1,INTER   ,0,1,CROSS  ,0,0,0,,0,,,5,3,PED       ,0,PED     ,2,FAT,3,RAIN,2,WET ,2,DLIT,99,UNKNOWN   ,1,3,CITY  ,,,,,,,2,NO-YIELD,,,,,,,0,0,0,0,9,"Over 200,000",1,PORTLAND CITY STREET,,,,4/17/07 19:49,1,1,1,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,45672,,,01454Node45672,LEG35901,NODELEG,NW QUIMBY ST,NW 23RD AVE,7638740,688264,249,26,RT,AI,NL,0,0,,,,,,,,,,,,,,,,,,,,
